object_id,Z,SpecType_Code,target
Dornhoth_fervain_onodrim,3.049,0,0
Dornhoth_galadh_ylf,0.4324,3,0
Elrim_melethril_thul,0.4673,0,0
Ithil_tobas_rodwen,0.6946,0,0
Mirion_adar_Druadan,0.4161,0,0
Mirion_lalaith_neledh,1.197,0,0
Rochirrim_lebdas_pethron,0.1806,12,0
acharn_lend_Mithrim,0.1887,0,0
achas_iar_gaur,1.238,0,0
aduial_nur_luith,2.201,0,0
amath_gwador_helegnen,0.7056,0,0
amlug_loss_ang,3.45,0,0
amon_imloth_luin,0.7766,15,1
andrann_puig_fern,0.3568,7,0
ang_cugu_harad,0.7503,0,0
ang_neledh_aith,0.2095,3,0
angos_rusc_curunir,0.215,0,0
annon_adab_lossen,2.736,0,0
araf_hub_faun,0.2929,7,0
aras_ryn_manadh,0.3513,7,0
badhor_graw_aiglos,1.206,0,0
badhor_magol_merilin,1.429,0,0
badhor_onodrim_alagos,0.2254,0,0
baneth_pilin_tachol,0.3759,7,0
bragol_bronwe_lagor,0.8324,0,0
bragol_nothrim_gas,0.2525,3,0
celair_aerlinn_aes,0.1663,3,0
cirion_ira_Ithil,0.3325,7,0
corch_faun_min,0.5925,7,0
corf_Mirion_toll,0.5084,0,0
cuin_haudh_cenedril,0.5366,0,0
cuin_law_amon,0.4769,7,0
dam_corch_agar,0.5287,0,0
dirnaith_achas_noroth,0.8448,0,0
drafn_araf_ryn,0.3243,15,1
eilian_pilin_fang,0.1536,3,0
eilian_pod_firiel,0.09443,3,0
elu_rusc_nath,0.826,15,1
elvellon_fast_annon,0.4599,7,0
ennorath_guldur_aear,0.6832,0,0
erchion_ungol_aduial,0.3355,10,0
espalass_melethron_ungol,1.203,0,0
espalass_nestad_hul,0.6164,0,0
fae_haeron_merilin,0.5845,7,0
fang_ira_nell,0.3245,10,0
fast_ang_lebenedh,0.7811,0,0
fast_celeb_bregedur,0.1706,0,0
firiel_lend_mithril,2.401,0,0
fuin_bragol_talraph,0.2981,0,0
galad_thangail_pethron,0.3175,0,0
gas_cair_gondrath,0.1668,3,0
gas_glaur_daen,0.1746,7,0
gaurwaith_Ithil_rhach,0.1758,0,0
gli_lembas_galadhrim,0.4442,7,0
gond_aduial_suil,0.09786,3,0
gond_pent_Dornhoth,0.3305,3,0
gondrath_saer_rach,0.8341,0,0
graw_heledir_lunt,1.032,0,0
graw_idhren_narthan,0.8373,0,0
gul_braig_baug,0.4682,0,0
gwador_thurin_hal,0.1736,7,0
gwathui_adan_barad,0.3883,3,0
gwilwileth_aegas_ah,0.3542,0,0
gwilwileth_ungol_aegas,0.8489,0,0
hand_gwathui_alae,0.8205,0,0
hand_parf_gwathui,1.338,0,0
helegnen_luith_raug,0.1821,3,0
helegnen_tathar_hend,0.8018,0,0
hervess_calad_firiel,0.4009,7,0
hervess_hend_lam,0.4506,15,1
hud_fast_hend,0.1626,3,0
imrad_achas_glamor,0.8,15,1
imrad_nothrim_Sindarin,0.4494,7,0
ingem_hub_lembas,0.3257,7,0
ingem_lost_acharn,0.5344,0,0
ist_acharn_pendrath,0.2138,7,0
lagor_narthan_mindon,0.5087,7,0
lang_lalaith_meldir,0.4382,0,0
law_minuial_cabor,0.815,0,0
lebdas_adab_aglareb,0.3968,3,0
limlug_mindon_iar,0.5887,7,0
limlug_pess_gwend,0.3901,0,0
lobor_mithren_fang,0.312,7,0
lossen_pess_duin,0.1988,3,0
lost_ungol_draug,0.1768,7,0
luith_gobennas_ang,1.131,0,0
luith_saig_aranarth,0.6755,0,0
luithien_mindon_eirien,0.3436,0,0
maethor_meldir_rhosc,0.2127,0,0
magor_elvellon_caras,0.1562,3,0
malad_saer_balrog,0.2828,0,0
manadh_gaurwaith_lalaith,1.338,0,0
melethron_panas_aeglir,0.1916,3,0
mereth_aiglos_ram,1.145,0,0
mindon_helegnen_galad,0.4303,7,0
mithril_suil_cugu,0.179,15,1
myril_thurin_ist,1.859,0,0
nadhras_pethron_ulug,0.1769,0,0
narthan_cugu_mir,0.09049,3,0
neledh_eglan_gwaloth,0.4354,0,0
nestad_agarwaen_saer,0.7086,0,0
nimbrethil_adab_maethor,0.1475,3,0
nur_nidh_fuin,0.3193,7,0
ogol_saig_adab,1.244,0,0
onodrim_hervess_firion,0.2837,7,0
paich_Mirion_aeruil,1.357,0,0
paich_erchion_ablad,1.52,0,0
paich_graw_haradrim,0.4069,7,0
panas_lalaith_bronwe,0.3565,7,0
parf_per_ruith,2.112,0,0
pendrath_Gwathuirim_Elrim,0.159,0,0
pent_agor_bronwe,0.4184,15,1
per_hwiniol_nimbrethil,1.199,0,0
perian_gwend_gwilwileth,1.14,0,0
perian_mir_balrog,0.1552,7,0
pethron_corf_menel,0.1991,3,0
raef_hud_baug,0.151,15,1
ram_thavron_rusc,0.1555,15,1
rhach_bellas_alae,0.3609,0,0
rhun_mir_magol,0.2395,3,0
riel_glae_gellui,0.4458,7,0
riel_glass_lasguil,0.966,0,0
riel_nadhras_firiel,0.1646,0,0
ris_hul_minas,0.8378,0,0
